,offer_accepted,reward,mailer_type,income_level,#_bank_accounts_open,overdraft_protection,credit_rating,#_credit_cards_held,#_homes_owned,household_size,own_your_home,average_balance
0,No,Air Miles,Letter,High,1,No,High,2,0,4,No,1160.75
1,No,Air Miles,Letter,Medium,1,No,Medium,2,2,5,Yes,147.25
2,No,Air Miles,Postcard,High,2,No,Medium,2,1,2,Yes,276.5
3,No,Air Miles,Letter,Medium,2,No,High,1,0,4,No,1219.0
4,No,Air Miles,Letter,Medium,1,No,Medium,2,1,6,Yes,1211.0
5,No,Air Miles,Letter,Medium,1,No,High,3,0,4,No,1114.75
6,No,Air Miles,Letter,Medium,1,No,Medium,2,0,3,No,283.75
7,No,Cash Back,Postcard,Low,1,No,Medium,4,1,4,Yes,278.5
8,No,Air Miles,Postcard,Medium,1,No,Low,2,1,4,Yes,1005.0
9,No,Air Miles,Letter,High,2,No,Low,3,2,4,Yes,974.25
10,No,Air Miles,Postcard,Medium,1,No,Medium,3,1,2,Yes,1135.25
11,No,Cash Back,Postcard,High,1,No,Medium,3,2,5,Yes,1221.0
12,No,Points,Letter,Medium,1,No,Low,1,1,2,Yes,1150.5
13,No,Points,Letter,Low,1,No,High,1,0,3,No,1052.25
14,No,Air Miles,Letter,Low,2,No,High,3,1,3,Yes,1013.25
15,No,Cash Back,Letter,High,1,No,Low,2,0,2,No,1012.25
16,No,Points,Postcard,Low,2,No,Medium,1,1,4,Yes,1217.0
17,No,Air Miles,Postcard,Low,2,No,High,2,1,4,Yes,1185.25
18,No,Points,Postcard,Medium,1,No,Low,1,0,4,No,1059.75
19,No,Cash Back,Letter,Medium,1,No,High,2,1,5,Yes,1086.75
20,No,Points,Postcard,Low,1,No,High,2,1,4,Yes,1175.25
21,No,Points,Letter,Medium,1,No,Low,2,2,3,Yes,811.75
22,No,Cash Back,Letter,High,1,No,High,1,1,3,Yes,1754.0
23,No,Air Miles,Postcard,High,1,No,High,3,0,5,No,689.5
